name,source,gender,wikidata,type
"Allée Masse Panier",,,,way
"Allée Paul Cézanne",,,,way
"Allée de la Collinette",,,,way
"Allée des Blaches",,,,way
"Allée des Cerisiers",,,,way
"Avenue Jean Rabot",,,,way
"Avenue des 3 Becs",,,,way
"Avenue des Arbres Écrits",,,,way
"Avenue du Village en Bois",,,,way
"Boulevard du 6 Juin 1944",,,,way
"Château Gaillard",,,,way
"Chemin d'Arbelet",,,,way
"Chemin de Beauchouse",,,,way
"Chemin de Chanterenard",,,,way
"Chemin de Chauffonde",,,,way
"Chemin de Chaufonde",,,,way
"Chemin de Costadon",,,,way
"Chemin de Crest",,,,way
"Chemin de Crête",,,,way
"Chemin de Divajeu",,,,way
"Chemin de Graignes",,,,way
"Chemin de Gueymene",,,,way
"Chemin de Leyronnat",,,,way
"Chemin de Mazorel",,,,way
"Chemin de Parquet",,,,way
"Chemin de Peyrambert",,,,way
"Chemin de Pierrefeu",,,,way
"Chemin de Rostagnon",,,,way
"Chemin de Saleine",,,,way
"Chemin de Serre-Rond",,,,way
"Chemin de Sylvestre",,,,way
"Chemin de l'Os de Gras",,,,way
"Chemin de la Chevalerie",,,,way
"Chemin de la Colline",,,,way
"Chemin de la Digue de Mazorel",,,,way
"Chemin de la Plaine",,,,way
"Chemin de la Tuillerie",,,,way
"Chemin des Acacias",,,,way
"Chemin des Arras",,,,way
"Chemin des Blaches",,,,way
"Chemin des Centimes",,,,way
"Chemin des Chanaux",,,,way
"Chemin des Chantres",,,,way
"Chemin des Cigales",,,,way
"Chemin des Gardettes",,,,way
"Chemin des Limites",,,,way
"Chemin des Montchauds",,,,way
"Chemin des Pivoines",,,,way
"Chemin des Plantas",,,,way
"Chemin des Prisonniers",,,,way
"Chemin des Remparts",,,,way
"Chemin des Romarins",,,,way
"Chemin des Rostagnon",,,,way
"Chemin des Sérérés",,,,way
"Chemin des Sétérées",,,,way
"Chemin des Taillas",,,,way
"Chemin du Donjon",,,,way
"Chemin du Grand-Saint-Jean",,,,way
"Chemin du Haut Divajeu",,,,way
"Chemin du Haut Mazorel",,,,way
"Chemin du Plateau",,,,way
"Chemin du Village en Bois",,,,way
"Chemins des Basses Sétérées",,,,way
"Chemins des Moyennes Sétérées",,,,way
"Cours de Joubernon",,,,way
"Escalier des Cordeliers",,,,way
"Impasse Chabrière",,,,way
"Impasse Martelle",,,,way
"Impasse de Berend",,,,way
"Impasse de Peyrambert",,,,way
"Impasse de Pierrefeu",,,,way
"Impasse de la Chevalerie",,,,way
"Impasse de la Plaine",,,,way
"Impasse des Amandiers",,,,way
"Impasse des Aubépines",,,,way
